categoria,regiao,estado,mesoregiao,modelo,ano_modelo,is_media,expostos,premio_medio,arrecadacao,freq_inc_roub,inc_roub_relativo,valor_inc_roub,freq_coli,valor_coli,freq_outras,valor_outras,ano
Passeio nacional,SP - Ribeirao Preto e Demais Mun. de Campinas,SP,RIBEIRAO PRETO,Ford - Fiesta 1.6 8V Flex 5p,Todos,29336,15164,658,9977912,58,0.003824848,1156843,1152,4837089,1447,298252,2012
Passeio nacional,SP - Ribeirao Preto e Demais Mun. de Campinas,SP,RIBEIRAO PRETO,Ford - Fiesta 1.6 8V Flex 5p,Todos,25689,16930,807,13662510,69,0.004075605,943868,1250,5764233,2024,577284,2014
Passeio nacional,SP - Ribeirao Preto e Demais Mun. de Campinas,SP,RIBEIRAO PRETO,Ford - Fiesta 1.6 8V Flex 5p,Todos,27390,17404,754,13122616,77,0.00442427,945156,1572,6406473,1585,390475,2013
Passeio nacional,SP - Vale do Paraiba e Ribeira,SP,LITORAL SUL PAULISTA,Ford - Fiesta 1.6 8V Flex 5p,Todos,29311,3293,767,2525731,15,0.004555117,344789,207,927814,853,185738,2012
Passeio nacional,SP - Vale do Paraiba e Ribeira,SP,LITORAL SUL PAULISTA,Ford - Fiesta 1.6 8V Flex 5p,Todos,30491,2562,741,1898442,13,0.005074161,278832,191,951936,647,114386,2011
Passeio nacional,SP - Vale do Paraiba e Ribeira,SP,LITORAL SUL PAULISTA,Ford - Fiesta 1.6 8V Flex 5p,Todos,25688,3721,896,3334016,29,0.007793604,542127,233,1423185,1165,241380,2014
Passeio nacional,SP - Vale do Paraiba e Ribeira,SP,LITORAL SUL PAULISTA,Ford - Fiesta 1.6 8V Flex 5p,Todos,27539,3879,878,3405762,32,0.008249549,692072,283,1415448,1015,167428,2013
Passeio nacional,SP - Vale do Paraiba e Ribeira,SP,LITORAL SUL PAULISTA,Ford - Fiesta 1.6 8V Flex 5p,Todos,24184,3184,888,2827392,30,0.009422111,616743,160,1132808,1336,387208,2015
Passeio nacional,TO - Tocantins,TO,OCIDENTAL DO TOCANTINS,Ford - Fiesta 1.6 8V Flex 5p,Todos,31286,104,919,95576,0,0,0,11,16143,13,4181,2010
Passeio nacional,TO - Tocantins,TO,OCIDENTAL DO TOCANTINS,Ford - Fiesta 1.6 8V Flex 5p,Todos,30451,167,1009,168503,0,0,0,28,192265,9,1727,2012
Passeio nacional,TO - Tocantins,TO,OCIDENTAL DO TOCANTINS,Ford - Fiesta 1.6 8V Flex 5p,Todos,26753,190,969,184110,0,0,0,22,93424,19,5279,2014
Passeio nacional,TO - Tocantins,TO,OCIDENTAL DO TOCANTINS,Ford - Fiesta 1.6 8V Flex 5p,Todos,23231,167,1003,167501,0,0,0,21,195947,22,5953,2015
Passeio nacional,TO - Tocantins,TO,OCIDENTAL DO TOCANTINS,Ford - Fiesta 1.6 8V Flex 5p,Todos,28956,214,1063,227482,2,0.009345794,42954,56,204169,13,1561,2013
Passeio nacional,TO - Tocantins,TO,OCIDENTAL DO TOCANTINS,Ford - Fiesta 1.6 8V Flex 5p,Todos,32180,105,909,95445,2,0.019047619,1109,11,32212,19,4172,2011
